PalletPosition,MachineCode,MachinePalletStatus,CreateTime,UpdateTime,RowVersion,WorkPositionNo,WorkPositionName,PalletTypeCode,PalletTypeName,Active,MachinePalletName,CurrentBrandCode,CurrentBrandName,CurrentMatchPalletCode,CurrentMatchPalletName,CurrentUniqueId,SyncMachinePalletStatus
1,101,4,2019-11-01 17:03:39.033,2019-11-01 17:04:00.877,0x5832D6AA1756944BB4D2FA95E6F4A86A,101001,CM01_FLOOR_01,1006,通包盘(福克),1,1,02017001,黄果树(佳遵),HGSJZ-1006-6,黄果树(佳遵)通包盘福克6小时,05011382,0
1,102,0,2019-10-24 16:24:39.253,2019-10-24 16:34:03.327,0x2349D773F8CBF148A5350E3FFBCD973A,102001,CM02_FLOOR_01,1002,商标纸,1,1,,,,,,0
1,103,0,2019-10-19 10:29:00.010,2019-10-19 16:09:27.810,0xE61E4A7DCEECE3488F460D8F7D85270F,103001,CM03_FLOOR_01,1002,商标纸,1,1,,,,,,0
1,104,0,2019-10-19 16:40:20.917,2019-10-19 16:40:20.917,0x828FE29A956C5D408B88C1095A01433E,104001,CM04_FLOOR_01,1002,商标纸,1,1,,,,,,0
1,105,0,2019-10-18 18:44:46.133,2019-10-19 16:14:47.977,0xA53797EEF0CCFE448245CDB7559021A3,105001,CM05_FLOOR_01,1007,条盒商标纸(软),1,1,,,,,,0
1,106,0,2019-10-19 10:20:27.140,2019-10-19 16:16:08.537,0x96353855ED94964FA7379E7530B52618,106001,CM06_FLOOR_01,1007,条盒商标纸(软),1,1,,,,,,0
1,107,0,2018-11-21 12:52:04.817,2019-04-11 17:46:20.543,0xC5E1ADDD16E9D846BB3FA5011A196B53,107001,CM07_FLOOR_01,1007,条盒商标纸(软),1,1,,,,,,0
1,201,0,2019-10-30 09:59:07.787,2019-10-31 15:58:35.997,0x03139208D0919F49B4D06037B9E446BF,201001,PM01_FLOOR_01,2001,纸箱,1,1,,,,,,0
1,202,0,2019-10-19 08:38:13.447,2019-10-19 15:57:51.763,0x95F8442E437C1D44B0E8161A3C0D38B4,202001,PM02_FLOOR_01,2002,纸箱(回收),1,1,,,,,,0
1,203,0,2019-10-19 14:08:52.143,2019-10-19 15:58:45.260,0x58390E60BE42684CA615B9ECCE77C16C,203001,PM03_FLOOR_01,2002,纸箱(回收),1,1,,,,,,0
1,301,0,2019-10-16 09:07:32.217,2019-10-19 16:15:23.023,0xBA19351D7C66D24D831417FC35D634E2,2231,FM01_CNV_IN,3001,丝束,1,丝束,,,,,,0
1,303,0,2019-10-19 08:49:07.400,2019-10-19 15:31:47.907,0x0B63D5E27116B14090AD5BF2699FF3C9,2233,FM03_CNV_IN,3001,丝束,1,丝束,,,,,,0
1,401,0,2018-12-24 16:37:09.073,2018-12-24 18:31:36.447,0xCB7D071E4913BA478B84B6523F02F197,401001,M_FLOOR_01,2001,纸箱,1,NULL,,,,,,0
1,501,0,2018-12-20 13:07:42.677,2018-12-29 17:21:08.683,0x0E26BF3759A2EA4CBB989E4FAD00D351,2112,2L特殊口,1001,通包盘,1,NULL,,,,,,0
2,101,0,2019-10-19 09:44:04.037,2019-10-19 16:35:16.517,0xE1AC1A6E8C32B841AA56632CA0E071A6,101002,CM01_FLOOR_02,1002,商标纸,1,2,,,,,,0
2,102,0,2019-10-24 16:48:47.447,2019-10-24 16:52:32.003,0xF23799FE8E09A644A39E541B03C66B28,102002,CM02_FLOOR_02,1001,通包盘,1,2,,,,,,0
2,103,0,2019-10-19 08:49:14.837,2019-10-19 16:09:27.810,0x0C3B2605440C60488384ABE6CDD0B0D6,103002,CM03_FLOOR_02,1001,通包盘,1,2,,,,,,0
2,104,0,2019-10-19 16:40:20.903,2019-10-19 16:40:20.917,0x04B2356AC506254EABCC0C51960DB455,104002,CM04_FLOOR_02,1001,通包盘,1,2,,,,,,0
2,105,0,2019-10-18 18:44:46.133,2019-10-19 16:14:47.977,0x3EDD587358C19242B3064A16E74E5854,105002,CM05_FLOOR_02,1008,小盒商标纸(软),1,2,,,,,,0
2,106,0,2019-10-19 09:56:58.917,2019-10-19 16:22:13.827,0xB48C201F860AE8469B744AEE82698D50,106002,CM06_FLOOR_02,1008,小盒商标纸(软),1,2,,,,,,0
2,107,0,2018-11-21 12:52:11.640,2019-04-11 17:46:30.457,0xBFA15D24BDA46D449C489AC61733251B,107002,CM07_FLOOR_02,1008,小盒商标纸(软),1,2,,,,,,0
2,201,0,2019-10-31 16:25:39.593,2019-10-31 16:32:46.370,0xF69046995A665949BBF9A697B81D3321,201002,PM01_FLOOR_02,2001,纸箱,1,2,,,,,,0
2,202,0,2019-10-17 08:36:34.233,2019-10-19 15:57:51.763,0x2043373F0AAD5C4790412DFE5A6A78C2,202002,PM02_FLOOR_02,2002,纸箱(回收),1,2,,,,,,0
2,203,0,2019-10-19 15:00:02.920,2019-10-19 15:58:45.260,0xA553FC42E275B74AB0E6E61406E50145,203002,PM03_FLOOR_02,2002,纸箱(回收),1,2,,,,,,0
2,301,0,2019-10-16 09:07:32.203,2019-10-19 16:35:17.327,0xE02C890F3D3A6F40A977CDB8DAFC4AA8,2231,FM01_CNV_IN,3001,丝束,0,丝束,,,,,,0
2,303,0,2019-10-19 08:49:07.413,2019-10-19 15:31:47.907,0x659B09E6CBB1644297D94CB124E67F32,2233,FM03_CNV_IN,3001,丝束,0,丝束,,,,,,0
2,401,0,2018-12-24 16:37:31.500,2018-12-24 16:37:31.500,0xCA1C23085EBDE24FAE09D3F6EAE7CB3D,401002,M_FLOOR_02,1007,条盒商标纸(软),1,NULL,,,,,,0
3,101,0,2019-10-19 08:59:25.247,2019-10-19 15:53:40.613,0xBEA2FD38C5A81A4EB4F79F88E1989EE1,101003,CM01_FLOOR_03,1003,卷接盘,1,3,,,,,,0
3,102,0,2019-10-19 16:43:30.840,2019-10-19 16:43:30.853,0x6433652769ECAC4F90ED8C529DD508B2,102003,CM02_FLOOR_03,1003,卷接盘,1,3,,,,,,0
3,103,0,2019-10-19 08:49:14.853,2019-10-19 16:09:27.810,0xBA2F529E3773D142AD6BEED7F7AB729B,103003,CM03_FLOOR_03,1003,卷接盘,1,3,,,,,,0
3,104,0,2019-10-19 16:40:20.903,2019-10-19 16:40:20.917,0xD0C06A58AD7DD548BD2755700F4755FF,104003,CM04_FLOOR_03,1003,卷接盘,1,3,,,,,,0
3,105,0,2019-10-19 11:53:55.620,2019-10-19 16:14:47.977,0xF79B2075751CD740A15D48EFA402FFF8,105003,CM05_FLOOR_03,1003,卷接盘,1,3,,,,,,0
3,106,0,2019-10-19 09:56:58.917,2019-10-19 15:53:55.157,0xB04C7B268777C942B92400CF4011633A,106003,CM06_FLOOR_03,1003,卷接盘,1,3,,,,,,0
3,107,0,2018-11-21 12:52:17.043,2019-04-11 17:34:28.037,0x2E8B3760C306494F936963D61AF07785,107003,CM07_FLOOR_03,1003,卷接盘,1,3,,,,,,0
3,301,0,2019-10-18 16:38:40.940,2019-10-19 16:35:17.327,0x10BE11907642F7489E5FF08E48B4A282,301001,FM01_FLOOR_01,3002,成型纸,1,成型纸,,,,,,0
3,303,0,2019-10-12 16:36:04.260,2019-10-19 15:31:47.907,0x4F57BB4E4EEC0E49A94C75F76DAC20E4,303001,FM03_FLOOR_01,3002,成型纸,1,成型纸,,,,,,0
3,401,0,2018-12-24 16:37:48.733,2018-12-24 19:01:32.567,0x22D513BEAC82C649ACFE9F2C78B5FE7E,401003,M_FLOOR_03,1002,商标纸,1,NULL,,,,,,0
4,101,0,2018-11-21 12:45:41.610,2019-01-23 18:45:20.477,0x20737B4AEF63A544B722322B6068759A,101004,CM01_FLOOR_04,1004,咀棒盘,1,4,,,,,,0
4,102,0,2018-11-21 12:47:16.553,2019-01-23 18:44:55.680,0xE4A7D880F9FEFC469B20AA08CDAE2E97,102004,CM02_FLOOR_04,1004,咀棒盘,1,4,,,,,,0
4,103,0,2018-11-21 12:48:18.740,2019-01-23 18:44:27.867,0xA612E7D8C2AD464A97E3A4687A1AAFAD,103004,CM03_FLOOR_04,1004,咀棒盘,1,4,,,,,,0
4,104,0,2018-11-21 12:49:05.793,2019-01-23 18:44:05.897,0x1469B0F09865B940892F372B13177192,104004,CM04_FLOOR_04,1004,咀棒盘,1,4,,,,,,0
4,105,0,2018-12-17 10:17:51.837,2019-01-23 18:41:46.453,0x6253824488E53347A7F9E8E82AD94F75,105004,CM05_FLOOR_04,1004,咀棒盘,1,4,,,,,,0
4,106,0,2018-11-21 12:51:35.900,2019-01-23 18:43:36.807,0x3E3D9BF3E106BB45B3F29AE9F0D09AFC,106004,CM06_FLOOR_04,1004,咀棒盘,1,4,,,,,,0
4,107,0,2018-11-21 12:52:21.913,2019-01-23 18:43:14.547,0xB000B1B40FF9C44C9E9B5AD0053C06DD,107004,CM07_FLOOR_04,1004,咀棒盘,1,4,,,,,,0
